name,origin,price,rating,type,varietal
Il Molino di Grace Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Wine Spectator 95 point rating,Red Wine,Sangiovese
Il Molino di Grace Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Decanter 93 point rating,Red Wine,Sangiovese
Il Molino di Grace Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,Vinous 93 point rating,Red Wine,Sangiovese
Il Molino di Grace Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",29.99,James Suckling 92 point rating,Red Wine,Sangiovese
El Coto Coto de Imaz Gran Reserva 2012,"Rioja, Spain",32.99,Decanter 97 point rating,Red Wine,Tempranillo
El Coto Coto de Imaz Gran Reserva 2012,"Rioja, Spain",32.99,Wine Enthusiast 94 point rating,Red Wine,Tempranillo
El Coto Coto de Imaz Gran Reserva 2012,"Rioja, Spain",32.99,Wine Spectator 91 point rating,Red Wine,Tempranillo
El Coto Coto de Imaz Gran Reserva 2012,"Rioja, Spain",32.99,James Suckling 91 point rating,Red Wine,Tempranillo
Bodegas Muga Reserva 2015,"Rioja, Spain",27.99,James Suckling 94 point rating,Red Wine,Tempranillo
Bodegas Muga Reserva 2015,"Rioja, Spain",27.99,Wine Spectator 94 point rating,Red Wine,Tempranillo
Bodegas Muga Reserva 2015,"Rioja, Spain",27.99,Jeb Dunnuck 94 point rating,Red Wine,Tempranillo
Bodegas Muga Reserva 2015,"Rioja, Spain",27.99,Tim Atkin 93 point rating,Red Wine,Tempranillo
Bodegas Muga Reserva 2015,"Rioja, Spain",27.99,Robert Parker's Wine Advocate 92 point rating,Red Wine,Tempranillo
Jordan Cabernet Sauvignon 2015,"Alexander Valley, Sonoma County, California",64.99,Wilfred Wong of Wine.com 94 point rating,Red Wine,Cabernet Sauvignon
Jordan Cabernet Sauvignon 2015,"Alexander Valley, Sonoma County, California",64.99,Wine Enthusiast 92 point rating,Red Wine,Cabernet Sauvignon
Jordan Cabernet Sauvignon 2015,"Alexander Valley, Sonoma County, California",64.99,Decanter 91 point rating,Red Wine,Cabernet Sauvignon
Castello di Monsanto Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",26.99,James Suckling 94 point rating,Red Wine,Sangiovese
Castello di Monsanto Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",26.99,Wine Spectator 94 point rating,Red Wine,Sangiovese
Castello di Monsanto Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",26.99,Robert Parker's Wine Advocate 93 point rating,Red Wine,Sangiovese
Castello di Monsanto Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",26.99,Wine & Spirits 93 point rating,Red Wine,Sangiovese
Castello di Monsanto Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",26.99,Decanter 91 point rating,Red Wine,Sangiovese
